pred,obj,cnt
http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://dbpedia.org/class/yago/MarkupLanguage106787835,4
https://w3id.org/i40/sto#hasClassification,https://w3id.org/i40/rami#Business,4
http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://dbpedia.org/class/yago/Act100030358,4
https://w3id.org/i40/sto#publisher,https://w3id.org/i40/sto#W3C,4
http://purl.org/dc/terms/subject,http://dbpedia.org/resource/Category:World_Wide_Web_Consortium_standards,4
http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://dbpedia.org/class/yago/YagoPermanentlyLocatedEntity,4
http://purl.org/dc/terms/license,Public,4
http://purl.org/dc/terms/subject,http://dbpedia.org/resource/Category:Manufacturing,4
http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://dbpedia.org/class/yago/Terminology106304059,4
https://w3id.org/i40/sto#hasDomain,https://w3id.org/i40/sto#CAD,4
https://w3id.org/i40/sto#hasClassification,https://w3id.org/i40/rami#Information,4
http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://dbpedia.org/class/yago/Language106282651,4
http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://dbpedia.org/class/yago/WikicatStandards,4
https://w3id.org/i40/sto#hasClassification,https://w3id.org/i40/sto#ProductLifeCycleManagement,4
http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://dbpedia.org/class/yago/Work100575741,3
http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://dbpedia.org/class/yago/Structure105726345,3
https://w3id.org/i40/sto#hasClassification,https://w3id.org/i40/rami#Identifikation,3
https://w3id.org/i40/sto#hasClassification,https://w3id.org/i40/sto#ProductModelDataExchange,3
https://w3id.org/i40/sto#isPartOf,https://w3id.org/i40/sto#IEC_62714,3
http://purl.org/dc/terms/subject,http://dbpedia.org/resource/Category:ANSI_standards,3
http://purl.org/dc/terms/subject,http://dbpedia.org/resource/Category:Industry-specific_XML-based_standards,3
http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://dbpedia.org/ontology/Organisation,3
http://purl.org/linguistics/gold/hypernym,http://dbpedia.org/resource/Format,3
http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://dbpedia.org/class/yago/WikicatWebServices,3
http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://dbpedia.org/class/yago/WikicatANSIStandards,3
http://purl.org/dc/terms/subject,http://dbpedia.org/resource/Category:Semantic_Web,3
http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://dbpedia.org/class/yago/Design105728678,3
http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://dbpedia.org/class/yago/Service100577525,3
https://w3id.org/i40/sto#hasClassification,https://w3id.org/i40/rami#GeneralAdminShell,3
http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://dbpedia.org/ontology/ProgrammingLanguage,3
https://w3id.org/i40/sto#publisher,https://w3id.org/i40/sto#ETSI,3
http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://dbpedia.org/class/yago/WikicatIndustry-specificXML-basedStandards,3
http://purl.org/dc/terms/subject,http://dbpedia.org/resource/Category:Safety,3
http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://dbpedia.org/class/yago/System104377057,3
http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://dbpedia.org/class/yago/Configuration105731779,3
http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://dbpedia.org/class/yago/Activity100407535,3
https://w3id.org/i40/sto#hasClassification,https://w3id.org/i40/sto#BusinessProcessExecution,3
https://w3id.org/i40/sto#developer,https://w3id.org/i40/sto#ETSI,3
http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://dbpedia.org/class/yago/WikicatElectricalStandards,3
https://w3id.org/i40/sto#hasClassification,https://w3id.org/i40/sto#ProductionSystemEngineering,3
http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://dbpedia.org/class/yago/Arrangement105726596,3
https://w3id.org/i40/sto#hasClassification,https://w3id.org/i40/rami#Conditional_Monitoring,3
http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://dbpedia.org/class/yago/WikicatComputerBuses,3
https://w3id.org/i40/sto#hasClassification,https://w3id.org/i40/rami#Security,3
http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://dbpedia.org/class/yago/Topology105730365,3
http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://dbpedia.org/class/yago/BusTopology105730591,3
https://w3id.org/i40/sto#relatedTo,https://w3id.org/i40/sto#IEC_61360,3
http://purl.org/dc/terms/subject,http://dbpedia.org/resource/Category:Resource_Description_Framework,3
http://purl.org/dc/terms/subject,http://dbpedia.org/resource/Category:Serial_buses,3
https://w3id.org/i40/sto#hasClassification,https://w3id.org/i40/sto#CrossLevel,3
https://w3id.org/i40/sto#hasClassification,https://w3id.org/i40/rami#ConnectedWorld,3
https://w3id.org/i40/sto#relatedTo,https://w3id.org/i40/sto#IEC_61158,3
http://purl.org/dc/terms/subject,http://dbpedia.org/resource/Category:Electrical_standards,3
http://purl.org/dc/terms/subject,http://dbpedia.org/resource/Category:Computer_file_formats,3
http://purl.org/linguistics/gold/hypernym,http://dbpedia.org/resource/Specification,2
https://w3id.org/i40/sto#motivation,Standard data elements (properties) are used as elements in administration shell,2
http://purl.org/linguistics/gold/hypernym,http://dbpedia.org/resource/Implementation,2
http://purl.org/dc/terms/subject,http://dbpedia.org/resource/Category:CAD_file_formats,2
https://w3id.org/i40/sto#publisher,https://w3id.org/i40/sto#OASIS,2
https://w3id.org/i40/sto#relatedTo,https://w3id.org/i40/sto#ISO_ASTM_52915,2
http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://dbpedia.org/class/yago/ProgrammingLanguage106898352,2
https://w3id.org/i40/sto#hasPublicationDate,2017-07-01,2
http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://dbpedia.org/class/yago/Bus102924116,2
http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://dbpedia.org/class/yago/WikicatISO/IECStandards,2
https://w3id.org/i40/sto#hasOfficialResource,https://webstore.iec.ch/publication/4550,2
https://w3id.org/i40/sto#hasClassification,https://w3id.org/i40/rami#LifecycleStatus,2
http://purl.org/dc/terms/subject,http://dbpedia.org/resource/Category:Computer_standards,2
https://w3id.org/i40/sto#hasOfficialResource,https://www.iso.org/iso-9001-quality-management.html,2
http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://dbpedia.org/class/yago/WikicatComputerStandards,2
https://w3id.org/i40/sto#hasClassification,https://w3id.org/i40/rami#AdminShellGeneral,2
https://w3id.org/i40/sto#relatedTo,https://w3id.org/i40/sto#W3C_RDF,2
http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://dbpedia.org/class/yago/Form106290637,2
http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.wikidata.org/entity/Q9143,2
http://purl.org/dc/terms/subject,http://dbpedia.org/resource/Category:Specification_languages,2
https://w3id.org/i40/sto#publisher,https://w3id.org/i40/sto#OMG,2
http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.wikidata.org/entity/Q315,2
http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://dbpedia.org/class/yago/ComputerNetwork103085333,2
https://w3id.org/i40/sto#hasOfficialResource,https://webstore.iec.ch/publication/24433,2
http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://dbpedia.org/class/yago/WikicatENStandards,2
http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://dbpedia.org/class/yago/Abbreviation107091587,2
https://w3id.org/i40/sto#publisher,https://w3id.org/i40/sto#ISA,2
http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://dbpedia.org/ontology/Place,2
http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://dbpedia.org/class/yago/Datum105816622,2
http://purl.org/dc/terms/subject,http://dbpedia.org/resource/Category:ISO/IEC_standards,2
https://w3id.org/i40/sto#hasClassification,https://w3id.org/i40/sto#SCM,2
http://purl.org/dc/terms/subject,http://dbpedia.org/resource/Category:Mobile_telecommunications_standards,2
https://w3id.org/i40/sto#relatedTo,https://w3id.org/i40/sto#IEC_61499,2
http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://dbpedia.org/class/yago/WikicatCADFileFormats,2
http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://dbpedia.org/class/yago/WikicatSerialBuses,2
https://w3id.org/i40/sto#developer,https://w3id.org/i40/sto#ANSI,2
http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://dbpedia.org/class/yago/WikicatWebStandards,2
https://w3id.org/i40/sto#hasDomain,https://w3id.org/i40/sto#IndustrialProcessMeasurementControl,2
https://w3id.org/i40/sto#developer,https://w3id.org/i40/sto#OMG,2
https://w3id.org/i40/sto#hasPublicationDate,2015-12-01,2
http://purl.org/dc/terms/subject,http://dbpedia.org/resource/Category:XML_markup_languages,2
http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://dbpedia.org/class/yago/WikicatGraphicsFileFormats,2
https://w3id.org/i40/sto#motivation,Defines the functional safety requirements established by IEC 61508 in process industry sector terminology,2
http://purl.org/dc/terms/subject,http://dbpedia.org/resource/Category:Data_modeling_languages,2
http://purl.org/dc/terms/subject,http://dbpedia.org/resource/Category:Workflow_technology,2
http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://dbpedia.org/class/yago/WikicatAbbreviations,2
http://purl.org/dc/terms/subject,http://dbpedia.org/resource/Category:Production_and_manufacturing,2
https://w3id.org/i40/sto#developer,https://w3id.org/i40/sto#ISA,2
https://w3id.org/i40/sto#hasClassification,https://w3id.org/i40/sto#EnterpriseLevel,2
http://purl.org/dc/terms/license,Open,2
http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://dbpedia.org/class/yago/Information105816287,2
https://w3id.org/i40/sto#relatedTo,https://w3id.org/i40/sto#ETSI_DECT,2
https://w3id.org/i40/sto#hasOfficialResource,https://www.iso.org/standard/45240.html,2
http://purl.org/dc/terms/subject,http://dbpedia.org/resource/Category:Declarative_programming_languages,2
http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://dbpedia.org/class/yago/Network103820728,2
https://w3id.org/i40/sto#hasClassification,https://w3id.org/i40/rami#Assest,2
https://w3id.org/i40/sto#relatedTo,https://w3id.org/i40/sto#ISO_13584,2
http://purl.org/dc/terms/subject,http://dbpedia.org/resource/Category:Supply_chain_management,2
http://purl.org/dc/terms/subject,http://dbpedia.org/resource/Category:Systems_engineering,2
http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://dbpedia.org/class/yago/WikicatDataModelingLanguages,2
https://w3id.org/i40/sto#hasOfficialResource,https://www.iso.org/standard/60572.html,2
http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://dbpedia.org/class/yago/PublicTransport104019101,2
http://purl.org/linguistics/gold/hypernym,http://dbpedia.org/resource/Protocol,2
http://purl.org/dc/terms/subject,http://dbpedia.org/resource/Category:Industrial_automation,2
http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.wikidata.org/entity/Q34770,2
http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://schema.org/Language,2
https://w3id.org/i40/sto#relatedTo,https://w3id.org/i40/sto#ISO_15926,2
http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://dbpedia.org/class/yago/CommandLanguage106899446,2
http://purl.org/dc/terms/subject,http://dbpedia.org/resource/Category:Electric_power,2
http://purl.org/dc/terms/subject,http://dbpedia.org/resource/Category:Network_protocols,2
https://w3id.org/i40/sto#publisher,https://w3id.org/i40/sto#MESA,2
http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://dbpedia.org/class/yago/WikicatApplicationLayerProtocols,2
https://w3id.org/i40/sto#relatedTo,https://w3id.org/i40/sto#IEC_62443,2
http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://dbpedia.org/class/yago/WikicatMobileTelecommunicationsStandards,2
http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://dbpedia.org/class/yago/Conveyance103100490,2
https://w3id.org/i40/sto#hasOfficialResource,https://www.iso.org/standard/61131.html,2
http://purl.org/dc/terms/subject,http://dbpedia.org/resource/Category:Electric_power_distribution,2
http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://dbpedia.org/class/yago/ArtificialLanguage106894544,2
http://purl.org/dc/terms/subject,http://dbpedia.org/resource/Category:Message-oriented_middleware,2
http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://dbpedia.org/class/yago/SourceLanguage106283912,2
http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://dbpedia.org/ontology/Company,2
https://w3id.org/i40/sto#hasClassification,https://w3id.org/i40/sto#ProductCatalogData,2
https://w3id.org/i40/sto#publisher,https://w3id.org/i40/sto#ANSI,2
http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://dbpedia.org/class/yago/WikicatQueryLanguages,2
http://www.w3.org/2002/07/owl#sameAs,http://nl.dbpedia.org/resource/Web_Ontology_Language,1
https://w3id.org/i40/sto#hasDBpediaResource,http://dbpedia.org/resource/Resource_Description_Framework,1
https://w3id.org/i40/sto#hasDBpediaResource,http://dbpedia.org/page/ISO/IEC_42010,1
https://w3id.org/i40/sto#hasPublicationDate,2017-05-18,1
http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://dbpedia.org/class/yago/WikicatContactlessSmartCards,1
https://w3id.org/i40/sto#hasWikipediaArticle,https://en.wikipedia.org/wiki/Supply-chain_operations_reference,1
https://w3id.org/i40/sto#hasClassification,https://w3id.org/i40/sto#DeviceLevel,1
http://www.w3.org/2004/02/skos/core#altLabel,ISA 99,1
https://w3id.org/i40/sto#hasOfficialResource,https://www.iso.org/standard/60774.html,1
https://w3id.org/i40/sto#hasOfficialResource,https://www.iso.org/standard/54497.html,1
https://w3id.org/i40/sto#hasTag,IEC Fieldbus (Profibus),1
http://www.w3.org/2002/07/owl#sameAs,http://www.wikidata.org/entity/Q5970200,1
http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://dbpedia.org/class/yago/YagoLegalActorGeo,1
https://w3id.org/i40/sto#hasWikipediaArticle,https://en.wikipedia.org/wiki/IEC_62061,1
https://w3id.org/i40/sto#hasWikipediaArticle,https://en.wikipedia.org/wiki/WirelessHART,1
http://www.w3.org/2002/07/owl#sameAs,http://pt.dbpedia.org/resource/MQTT,1
https://w3id.org/i40/sto#relatedTo,https://w3id.org/i40/sto#IEC_61511,1
http://purl.org/dc/terms/subject,http://dbpedia.org/resource/Category:Enterprise_modelling,1
https://w3id.org/i40/sto#hasTag,IEC Common Data Dictionary,1
https://w3id.org/i40/sto#hasDBpediaResource,http://dbpedia.org/resource/IEC_27000,1
